Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
verschlüsselte gesundheitsbezogene Personendaten;(coded personal data relating to health);Juristisch: Daten, die mit einer bestimmten Person über einen Schlüssel verknüpft sind.;Quelle: Art. 3 HFG;"Juristisch:
Daten, die mit einer bestimmten Person über einen Schlüssel verknüpft sind.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=495
verschlüsseltes biologisches Material;(coded biological material);Juristisch: Biologisches Material, das mit einerbestimmten Person über einen Schlüssel verknüpft ist.;Quelle: Art. 3 HFG;"Juristisch:
Biologisches Material, das mit einerbestimmten Person über einen Schlüssel verknüpft ist.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=494
Verschlüsselung;(coding);Juristisch: Verschlüsseltes biologisches Material bzw. verschlüsselte gesundheitsbezogene Personendaten werden vor der Verwendung zu Forschungszwecken mit einem Schlüssel (engl. Code) versehen.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Verschlüsseltes biologisches Material bzw. verschlüsselte gesundheitsbezogene Personendaten werden vor der Verwendung zu Forschungszwecken mit einem Schlüssel (engl. Code) versehen.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=496
Verstorbene (Forschung an Verstorbenen);(deceased persons (research involving deceased persons ));Juristisch: Forschung an verstorbenen Personen darf durchgeführt werden, wenn diese vor ihrem Tod in die Verwendung ihres Körpers zu Forschungszwecken eingewilligt haben.Liegt keine dokumentierte Einwilligung oder Ablehnung der verstorbenen Person vor, so dürfen ihr Körper oder dessen Teile zu Forschungszwecken verwendet werden, wenn die nächsten Angehörigen oder eine von der verstorbenen Person zu Lebzeiten bezeichnete Vertrauensperson einwilligen.Die Einwilligung der nächsten Angehörigen oder der Vertrauensperson richtet sich nach Artikel 8 des Transplantationsgesetzes vom 8. Oktober 2004.Forschung an verstorbenen Personen, deren Tod vor mehr als 70 Jahren eintrat, darf ohne Einwilligung nach Absatz 2 durchgeführt werden. Wenden sich die nächsten Angehörigen gegen diese Forschung, so darf sie nicht durchgeführt werden.;Quelle: Art. 36 HFG;"Juristisch:
Forschung an verstorbenen Personen darf durchgeführt werden, wenn diese vor ihrem Tod in die Verwendung ihres Körpers zu Forschungszwecken eingewilligt haben.Liegt keine dokumentierte Einwilligung oder Ablehnung der verstorbenen Person vor, so dürfen ihr Körper oder dessen Teile zu Forschungszwecken verwendet werden, wenn die nächsten Angehörigen oder eine von der verstorbenen Person zu Lebzeiten bezeichnete Vertrauensperson einwilligen.Die Einwilligung der nächsten Angehörigen oder der Vertrauensperson richtet sich nach Artikel 8 des Transplantationsgesetzes vom 8. Oktober 2004.Forschung an verstorbenen Personen, deren Tod vor mehr als 70 Jahren eintrat, darf ohne Einwilligung nach Absatz 2 durchgeführt werden. Wenden sich die nächsten Angehörigen gegen diese Forschung, so darf sie nicht durchgeführt werden.

Quelle: Art. 36 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=497
Verzerrung (Bias);(bias);Effekt, welcher in jeder Stufe einer Untersuchung einen systematischen Fehler einführen kann.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Effekt, welcher in jeder Stufe einer Untersuchung einen systematischen Fehler einführen kann.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=499
Vier Prinzipien der biomedizinischen Ethik;(four principles of biomedical ethics);Juristisch: Aus ethischer Sicht stellen sich im Zusammenhang mit der Forschung am Menschen grundsätzliche Fragen wie z.B. die, ob die Instrumentalisierung eines Menschen im Rahmen einer wissenschaftlichen Studie überhaupt gerechtfertigt ist oder nicht. Daneben ist auch über Aspekte zu befinden, die einer Abwägung bedürfen, wie z.B. die Zumutbarkeit von Risiken und Belastungen für die betroffene Person. In der Regel werden zur Beantwortung solcher Fragen die vier klassischen Prinzipien der biomedizinischen Ethik herangezogen. Es sind dies: Autonomie, Gerechtigkeit, Schadensvermeidung und Fürsorge. Die vier Prinzipien stützen sich auf unterschiedliche Denktraditionen und reichen im Falle des ethischen Prinzips der Schadensvermeidung bis zum Hippokratischen Eid zurück. Die Stärke des auf diesen Prinzipien der biomedizinischen Ethik abgestützten Ansatzes besteht darin, dass bei der Beurteilung konkreter Probleme auf unterschiedliche Aspekte Rücksicht genommen werden kann. Die Prinzipien können nicht immer streng voneinander getrennt werden, sondern überlagern einander oft.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Aus ethischer Sicht stellen sich im Zusammenhang mit der Forschung am Menschen grundsätzliche Fragen wie z.B. die, ob die Instrumentalisierung eines Menschen im Rahmen einer wissenschaftlichen Studie überhaupt gerechtfertigt ist oder nicht. Daneben ist auch über Aspekte zu befinden, die einer Abwägung bedürfen, wie z.B. die Zumutbarkeit von Risiken und Belastungen für die betroffene Person. In der Regel werden zur Beantwortung solcher Fragen die vier klassischen Prinzipien der biomedizinischen Ethik herangezogen. Es sind dies: Autonomie, Gerechtigkeit, Schadensvermeidung und Fürsorge. Die vier Prinzipien stützen sich auf unterschiedliche Denktraditionen und reichen im Falle des ethischen Prinzips der Schadensvermeidung bis zum Hippokratischen Eid zurück. Die Stärke des auf diesen Prinzipien der biomedizinischen Ethik abgestützten Ansatzes besteht darin, dass bei der Beurteilung konkreter Probleme auf unterschiedliche Aspekte Rücksicht genommen werden kann. Die Prinzipien können nicht immer streng voneinander getrennt werden, sondern überlagern einander oft.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=498
Vorsorgeverfügung;(care order);Verfügung hinsichtlich der Regelung finanzieller, persönlicher oder medizinischer Fragen für jene Notfälle, wo der Betreffende dies wegen Krankheit oder Tod nicht mehr selbst tun kann.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Verfügung hinsichtlich der Regelung finanzieller, persönlicher oder medizinischer Fragen für jene Notfälle, wo der Betreffende dies wegen Krankheit oder Tod nicht mehr selbst tun kann.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=502
vorzeitiger Abbruch der Studie;(discontinuation (premature termination of the study));Beenden der Studienteilnahme bevor alle Punkte vom Studienprotokoll erfüllt sind.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Beenden der Studienteilnahme bevor alle Punkte vom Studienprotokoll erfüllt sind.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=503
vorzeitiges Ausscheiden aus der Studie;(discontinuation (premature withdrawal from the study));Beenden der Teilnahme an der Studie vor Abschluss der nach dem Protokoll (Prüfplan) geforderten Elemente. Vier Kategorien:1. Dropout: aktives Ausscheiden (Entschluss Patient)2. Entschluss des Prüfarztes (vorhandener Grund)3. nicht zur Untersuchung erschienen4. Entschluss des Sponsors.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Beenden der Teilnahme an der Studie vor Abschluss der nach dem Protokoll (Prüfplan) geforderten Elemente. Vier Kategorien:1. Dropout: aktives Ausscheiden (Entschluss Patient)2. Entschluss des Prüfarztes (vorhandener Grund)3. nicht zur Untersuchung erschienen4. Entschluss des Sponsors.


Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=504
vulnerable (speziell) schutzbedürftige Studienteilnehmende;(vulnerable subjects (subjects needing special protection));Studienteilnehmende, die aufgrund spezifischer Faktoren/Eigenschaften besonders schutz-bedürftig sind, wie z.B. urteilsunfähige Personen (Kinder, Menschen mit Behinderung usw.). Solche Faktoren können insbesondere sein: eingeschränkte oder fehlende Autonomiefähigkeit, soziale Diskriminierung, Stigmatisierung, Abhängigkeit oder andere Einschränkungen sowie erhöhte physische oder psychische Empfindlichkeit gegenüber den vorgesehenen Studienhandlungen. Für den Einschluss solcher Personengruppen gelten das Subsi-diaritätsprinzip sowie das Prinzip des Gruppennutzens.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Studienteilnehmende, die aufgrund spezifischer Faktoren/Eigenschaften besonders schutz-bedürftig sind, wie z.B. urteilsunfähige Personen (Kinder, Menschen mit Behinderung usw.). Solche Faktoren können insbesondere sein: eingeschränkte oder fehlende Autonomiefähigkeit, soziale Diskriminierung, Stigmatisierung, Abhängigkeit oder andere Einschränkungen sowie erhöhte physische oder psychische Empfindlichkeit gegenüber den vorgesehenen Studienhandlungen. Für den Einschluss solcher Personengruppen gelten das Subsi-diaritätsprinzip sowie das Prinzip des Gruppennutzens.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=505
vulnerable Personen;(vulnerable persons);"Im Kontext der Forschung ergibt sich eine besondere Verletzlichkeit in Situationen – eingeschränkter und fehlender Autonomiefähigkeit; – sozialer Diskriminierung; – von Stigmatisierung; – von Abhängigkeit oder anderer Einschränkung sowie – erhöhter physischer oder psychischer Empfindlichkeit gegenüber den vorgesehenen konkreten Studienhandlungen. Kinder oder Menschen mit Behinderung können aufgrund ihrer besonderen Abhängigkeit vulnerabel sein. ";Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Im Kontext der Forschung ergibt sich eine besondere Verletzlichkeit in Situationen – eingeschränkter und fehlender Autonomiefähigkeit; – sozialer Diskriminierung; – von Stigmatisierung; – von Abhängigkeit oder anderer Einschränkung sowie – erhöhter physischer oder psychischer Empfindlichkeit gegenüber den vorgesehenen konkreten Studienhandlungen. Kinder oder Menschen mit Behinderung können aufgrund ihrer besonderen Abhängigkeit vulnerabel sein. 




Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=26
Wahrscheinlichkeit;(probability);Grundlage der klassischen Statistik. p (Probability, Irrtumswahrscheinlichkeit) steht für die Wahrscheinlichkeit der Rückweisung der Nullhypothese.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Grundlage der klassischen Statistik. p (Probability, Irrtumswahrscheinlichkeit) steht für die Wahrscheinlichkeit der Rückweisung der Nullhypothese.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=506
Weltgesundheitsorganisation;(World Health Organization WHO);Die Weltgesundheitsorganisation (World Health Organization, WHO) ist eine Sonderorganisation der Vereinten Nationen mit Sitz in Genf. Sie wurde am 7. April 1948 gegründet und zählt 194 Mitgliedsstaaten. Sie ist die Koordinationsbehörde der Vereinten Nationen für das internationale öffentliche Gesundheitswesen.;Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Weltgesundheitsorganisation.;"Die Weltgesundheitsorganisation (World Health Organization, WHO) ist eine Sonderorganisation der Vereinten Nationen mit Sitz in Genf. Sie wurde am 7. April 1948 gegründet und zählt 194 Mitgliedsstaaten. Sie ist die Koordinationsbehörde der Vereinten Nationen für das internationale öffentliche Gesundheitswesen.
Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Weltgesundheitsorganisation.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=514
Widerrufsrecht und Rückzugsrecht;(right of cancellation and right of withdrawal);Juristisch: Eine erteilte Einwilligung kann von der teilnehmenden Person formlos und ohne Angabe von Gründen jederzeit widerrufen werden.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Eine erteilte Einwilligung kann von der teilnehmenden Person formlos und ohne Angabe von Gründen jederzeit widerrufen werden.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=507
Widerspruchslösung;(presumed consent);Eine Form der Regelung der Spende von Organen, Geweben oder Zellen, die davon ausgeht, dass einer Entnahme explizit widersprochen werden muss.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Eine Form der Regelung der Spende von Organen, Geweben oder Zellen, die davon ausgeht, dass einer Entnahme explizit widersprochen werden muss.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=508
Willenserklärung;(declaration of consent);Mitteilung des Willens zur Begründung, Änderung oder Beendigung eines Rechts oder Rechtsverhältnisses.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Mitteilung des Willens zur Begründung, Änderung oder Beendigung eines Rechts oder Rechtsverhältnisses.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=509
